	training	validation
0		8.91126132032
1	4.1433659269	3.47004867685
2	3.4453773621	3.29444079585
3	3.2917600013	3.22805878454
4	3.20568364675	3.20988464623
5	3.15077258088	3.16643573137
6	3.10922216368	3.16014687711
7	3.07739139927	3.15792895692
8	3.05187958571	3.14204642085
9	3.03296726569	3.15560216402
10	3.01526851854	3.14939446481
