	training	validation
0		8.91059261768
1	3.94770463053	3.39759294389
2	3.30756398946	3.21535203708
3	3.14696918442	3.16393335235
4	3.0544286405	3.1224848511
5	2.99099724245	3.08765113963
6	2.94283066205	3.08171572644
7	2.90315430932	3.0788972161
8	2.87233742223	3.08574941134
9	2.84495026677	3.08430480511
