	training	validation
0		8.91052435013
1	4.22901585887	3.58998768504
2	3.51994125964	3.36704334931
3	3.34318193435	3.29963815523
4	3.24708673757	3.24470110903
5	3.18651937444	3.23747131066
6	3.14189322744	3.23740126263
7	3.10628383501	3.21427048363
8	3.07936269392	3.23069433912
9	3.05527892092	3.2387349733
